rd_id,route,source,source_lat,source_long,destination,destination_lat,destination_long,distance,distance_direct
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41
1,6,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,Jost Vasahat,19.2023845,72.949391,120,174.27
2,6,Jost Vasahat,19.2023845,72.949391,Indira Nagar,19.2047688,72.9498933,270,270.31
3,6,Indira Nagar,19.2047688,72.9498933,Savarkar Nagar,19.2044844,72.9536386,400,394.55
4,6,Savarkar Nagar,19.2044844,72.9536386,Kamgar Hospital Thane,19.2035131,72.9555765,230,230.37
5,6,Kamgar Hospital Thane,19.2035131,72.9555765,Gyaneshwar Nagar,19.2019899,72.9579687,350,302.96
6,6,Gyaneshwar Nagar,19.2019899,72.9579687,Vaiti Wadi,19.201917,72.9589558,90,103.97
7,6,Vaiti Wadi,19.201917,72.9589558,Ramchandra Nagar No 1,19.2000849,72.9626443,450,437.63
8,6,Ramchandra Nagar No 1,19.2000849,72.9626443,Nitin Company,19.1992392,72.9647444,240,239.74
9,6,Nitin Company,19.1992392,72.9647444,Namdev Wadi,19.1982645,72.9668219,240,243.59
10,6,Namdev Wadi,19.1982645,72.9668219,Mahapalika Bhavan,19.1970562,72.9675219,200,153.15
11,6,Mahapalika Bhavan,19.1970562,72.9675219,Parmarth Niketan,19.1945044,72.9668217,300,293.11
12,6,Parmarth Niketan,19.1945044,72.9668217,Pradeep Society/Panch Pakhadi,19.1935475,72.9673806,170,121.51
13,6,Pradeep Society/Panch Pakhadi,19.1935475,72.9673806,Hari Niwas,19.1910115,72.9679197,450,287.61
14,6,Hari Niwas,19.1910115,72.9679197,Ice Factory,19.187378,72.968645,500,411.14
15,6,Ice Factory,19.187378,72.968645,Gaondevi,19.18879,72.974678,750,652.73
16,6,Gaondevi,19.18879,72.974678,Thane Station West SATIS,19.1872786,72.9771979,500,313.48
17,6,Thane Station West SATIS,19.1872786,72.9771979,Prabhat Cinema,19.190592,72.97621,800,382.76
18,6,Prabhat Cinema,19.190592,72.97621,Talav Pali/Jambhali Naka,19.1938929,72.9767458,350,371.33
19,6,Talav Pali/Jambhali Naka,19.1938929,72.9767458,Civil Hospital / Court Naka ,19.1972689,72.9784649,550,416.54
20,6,Civil Hospital / Court Naka ,19.1972689,72.9784649,Police Line,19.2012909,72.9793277,600,456.31
21,6,Police Line,19.2012909,72.9793277,Holy Cross School/K Villa,19.2033956,72.9787052,250,242.98
22,6,Holy Cross School/K Villa,19.2033956,72.9787052,Shrirang Society,19.2061609,72.9801921,550,344.85
23,6,Shrirang Society,19.2061609,72.9801921,Rabodi,19.206034,72.9821946,210,210.74
24,6,Rabodi,19.206034,72.9821946,Vrindavan Society,19.2084385,72.9828351,300,275.69
