,rd_id,route,source,source_lat,source_long,destination,destination_lat,destination_long,distance,distance_direct,count,mean,std,min_threshold,max_threshold,google_duration
0,0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,101.0,116,72,44,188,60
1,1,6,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,Jost Vasahat,19.2023845,72.949391,120,174.27,83.0,56,23,33,79,60
2,2,6,Jost Vasahat,19.2023845,72.949391,Indira Nagar,19.2047688,72.9498933,270,270.31,82.0,90,42,48,132,60
3,3,6,Indira Nagar,19.2047688,72.9498933,Savarkar Nagar,19.2044844,72.9536386,400,394.55,83.0,120,51,69,171,120
4,4,6,Savarkar Nagar,19.2044844,72.9536386,Kamgar Hospital Thane,19.2035131,72.9555765,230,230.37,73.0,56,24,32,80,60
5,5,6,Kamgar Hospital Thane,19.2035131,72.9555765,Gyaneshwar Nagar,19.2019899,72.9579687,350,302.96,80.0,72,28,44,100,60
6,6,6,Gyaneshwar Nagar,19.2019899,72.9579687,Vaiti Wadi,19.201917,72.9589558,90,103.97,52.0,38,19,19,57,60
7,7,6,Vaiti Wadi,19.201917,72.9589558,Ramchandra Nagar No 1,19.2000849,72.9626443,450,437.63,59.0,133,41,92,174,120
8,8,6,Ramchandra Nagar No 1,19.2000849,72.9626443,Nitin Company,19.1992392,72.9647444,240,239.74,63.0,119,59,60,178,60
9,9,6,Nitin Company,19.1992392,72.9647444,Namdev Wadi,19.1982645,72.9668219,240,243.59,65.0,74,29,45,103,60
10,10,6,Namdev Wadi,19.1982645,72.9668219,Mahapalika Bhavan,19.1970562,72.9675219,200,153.15,84.0,62,27,35,89,60
11,11,6,Mahapalika Bhavan,19.1970562,72.9675219,Parmarth Niketan,19.1945044,72.9668217,300,293.11,83.0,80,24,56,104,60
12,12,6,Parmarth Niketan,19.1945044,72.9668217,Pradeep Society/Panch Pakhadi,19.1935475,72.9673806,170,121.51,79.0,50,25,25,75,60
13,13,6,Pradeep Society/Panch Pakhadi,19.1935475,72.9673806,Hari Niwas,19.1910115,72.9679197,450,287.61,79.0,113,38,75,151,120
14,14,6,Hari Niwas,19.1910115,72.9679197,Ice Factory,19.187378,72.968645,500,411.14,81.0,139,39,100,178,120
15,15,6,Ice Factory,19.187378,72.968645,Gaondevi,19.18879,72.974678,750,652.73,65.0,281,110,171,391,240
16,16,6,Gaondevi,19.18879,72.974678,Thane Station West SATIS,19.1872786,72.9771979,500,313.48,0.0,0,0,0,0,240
17,17,6,Thane Station West SATIS,19.1872786,72.9771979,Prabhat Cinema,19.190592,72.97621,800,382.76,1.0,279,0,279,279,240
18,18,6,Prabhat Cinema,19.190592,72.97621,Talav Pali/Jambhali Naka,19.1938929,72.9767458,350,371.33,37.0,74,29,45,103,60
19,19,6,Talav Pali/Jambhali Naka,19.1938929,72.9767458,Civil Hospital / Court Naka ,19.1972689,72.9784649,550,416.54,0.0,0,0,0,0,
20,20,6,Civil Hospital / Court Naka ,19.1972689,72.9784649,Police Line,19.2012909,72.9793277,600,456.31,0.0,0,0,0,0,
21,21,6,Police Line,19.2012909,72.9793277,Holy Cross School/K Villa,19.2033956,72.9787052,250,242.98,4.0,82,16,66,98,60
22,22,6,Holy Cross School/K Villa,19.2033956,72.9787052,Shrirang Society,19.2061609,72.9801921,550,344.85,66.0,155,39,116,194,120
23,23,6,Shrirang Society,19.2061609,72.9801921,Rabodi,19.206034,72.9821946,210,210.74,71.0,69,23,46,92,120
24,24,6,Rabodi,19.206034,72.9821946,Vrindavan Society,19.2084385,72.9828351,300,275.69,68.0,124,55,69,179,60
